hash,author,date,message,category,logs_added,logs_removed,logs_modified
73a4adc889863e3194fe97d7f75cc1198dfa4569,Alexey Serbin,Thu Jul 24 18:36:45 2025 -0700,[tserver] more detailed trace on early scan response,logging_improvement,0,0,1
00eecabdcfe98cee9e954d4e1c10706e5a5c6a15,Gabriella Lotz,Thu Jul 10 11:19:45 2025 +0200,[webserver] Mapping Kerberos principals to local usernames,other,1,0,0
804d207eb831d702d30cd27dcc1fc2d96b680917,Zoltan Martonka,Fri May 10 14:02:22 2024 +0000,[glog] Fix minidump-test for cold symbols.,bug_fix,0,0,0
eb5a54dcac6d93b328fdf5850075fc6988722f78,Alexey Serbin,Thu Jul 10 11:12:12 2025 -0700,[webserver] avoid memory alloc&copying for HTTP status,other,0,0,1
675a571201ad4ae2a2e36f7aa27b604ebbf3a180,Alexey Serbin,Wed Jun 11 00:53:41 2025 -0700,[tablet] less re-allocation of vectors in RowsetTree,other,0,0,0
fe0410d03bfda8487cd11b13a068d403ba6a46cc,Alexey Serbin,Mon Jun 2 17:31:46 2025 -0700,[common] introduce ColumnSchemaBuilder,other,0,0,0
7a3868519f1eed9617ee0e4c1a20154b55f85063,kedeng,Fri Jun 6 10:53:11 2025 +0800,[util] Remove SchedulerThread code and tests,other,0,1,0
bd5e785e40b90023652990b341e730311efd116b,Alexey Serbin,Thu May 29 17:37:53 2025 -0700,[tablet] simplify ApplyMutationsAndMergeDuplicateHistory,refactor,0,0,1
01e0aa93211c968d2dead9cf85bf54d8f9fec18c,Ashwani Raina,Mon May 12 21:27:15 2025 +0530,[socket] Fix test failure caused due to unsupported socket option,bug_fix,1,0,0
0fcdb326aecaa47815ce0425546a0a20ae7f36dd,Alexey Serbin,Thu May 22 12:42:08 2025 -0700,"[common] clean-up on types.{h,cc}",other,0,0,3
d5f83c31525112be3155cdc67105ed76a6caa77c,Alexey Serbin,Mon May 12 14:20:45 2025 -0700,[util] optimise RLE a bit,other,0,1,0
295b8c22b0502b5ed258be5c3f4189933e5a822f,Ashwani Raina,Thu Mar 27 20:31:16 2025 +0530,[compaction] Add memory tracking for better OOM issues triaging,bug_fix,0,0,0
4e5cd21da441444cf960e8fa53a71042b7be17c9,Abhishek Chennaka,Wed Apr 23 12:20:41 2025 -0700,KUDU-3661 Ranger policy not honored in Kudu,other,0,0,0
d09bf07b3162bccba3805b9db3c7a17ac44197b6,Alexey Serbin,Tue Apr 22 17:37:47 2025 -0700,[common] ColumnPredicate clean-up,other,0,0,1
887a87dd9c6cfc29999e0eb9c55e559cdeefe59f,Alexey Serbin,Thu Mar 6 20:42:41 2025 -0800,[webserver] reduce memory allocations and copying for responses,other,0,0,0
5ec9e470951c88d034e5e8d1c113923ada822128,Alexey Serbin,Fri Mar 28 21:10:06 2025 -0700,[tools] fix result status handling,bug_fix,2,0,0
5be85284e9e6b0819374c93ef83f62ba0ca07d5f,Alexey Serbin,Tue Apr 1 12:00:48 2025 -0700,[integration-tests] fix result status handling,bug_fix,1,0,1
97df171f849a10ecbc3613962440f5d84b18314a,Alexey Serbin,Mon Mar 31 14:37:47 2025 -0700,[master] fix result status handling,bug_fix,0,0,0
d17ea9f836b650c96cfcc0b9d3c6306fb6843899,Alexey Serbin,Thu Mar 27 22:41:59 2025 -0700,[tablet] fix result status handling,bug_fix,0,0,2
f554dd664e4bf792f277fe3390d041dfbda9ade5,Alexey Serbin,Thu Mar 27 18:51:31 2025 -0700,[map-utils] micro-optimisation on FindWithDefault invocations,other,0,0,0
1bfdd6ff826d224cf94cd8e60d02e4a32a0d3ddb,Alexey Serbin,Wed Mar 26 16:12:35 2025 -0700,[rpc] fix result status handling,bug_fix,0,0,0
500a7b778be9c032d24568f42e9b94da6b29ce5f,gabriellalotz,Wed Sep 18 11:55:55 2024 +0200,KUDU-3608: REST API for Metadata Management,other,1,0,0
00619af3070a41b8eaba50290807e378a0285152,Alexey Serbin,Thu Feb 27 18:45:37 2025 -0800,[tserver] fix result status handling,bug_fix,0,0,0
7241bfb2532d80e66d61930e3da3306b5172cbe6,Alexey Serbin,Thu Feb 27 18:36:02 2025 -0800,[fs] fix result status handling,bug_fix,0,0,0
e8a8325b0fd1afaa60394a91b55a31fa63a25516,Alexey Serbin,Fri Mar 21 17:01:25 2025 -0700,KUDU-3481 more diagnostics on non-monotonic event IDs,other,1,0,0
bde9cbad115deb1cd689eb583a1c7a8d3440b156,Alexey Serbin,Thu Feb 27 18:19:12 2025 -0800,[consensus] fix result status handling,bug_fix,0,1,0
cf95975114e2ae38ad4e4cf0d81e2e59bafa49af,gabriellalotz,Mon Feb 24 09:59:20 2025 +0000,KUDU-3639 Add table operation functions follow-up,feature,0,0,0
b6e0da9b20e4b96b2be1d34342dd9f7c595d8686,Alexey Serbin,Fri Feb 21 12:20:41 2025 -0800,KUDU-3645 do not retry close() syscall on EINTR,other,12,0,7
73b717b7357b08fb0e8c0f0e9979a466eef0495e,Alexey Serbin,Wed Feb 19 20:58:16 2025 -0800,[util] fix result status handling,bug_fix,0,0,0
7dbf89e9ecff1c05e78e522fc77c409387b88ca5,gabriellalotz,Thu Jan 23 15:32:44 2025 +0000,KUDU-3639 Add REST-compatible table operation functions,feature,3,0,3
97207aab577448ae426ecba3764eaed81a38d5cd,Alexey Serbin,Tue Feb 4 13:06:37 2025 -0800,[tablet] fix compilation warnings on macOS,bug_fix,0,0,0
83e5a73e2f6ac42925a7a97a203644438cffe6da,Alexey Serbin,Thu Jan 30 12:22:33 2025 -0800,[util] introduce ScopedCleanup::run(),refactor,0,0,0
271ce3c91d61c54732f8bcb8e08b121b2f5e6b57,Alexey Serbin,Thu Jan 30 18:50:13 2025 -0800,[master] tablet_id() accessors return const reference,other,0,0,0
691c3e68ecf58c83cbb5fc5448fc2d7a51196311,Alexey Serbin,Thu Jan 30 16:42:48 2025 -0800,[maintenance_manager] micro-optimisation on LogPrefix,bug_fix,0,0,0
d405ad33080cc5b203e3789363a202d472aca795,Ashwani Raina,Tue Nov 19 19:50:42 2024 +0530,[compaction] Add memory tracking for better OOM issues triaging,bug_fix,0,0,0
0ddaac556f7bc7aeb47db740300921d10eabd856,Alexey Serbin,Tue Jan 14 12:14:58 2025 -0800,[tserver] disable KUDU-3486 behavior by default,other,0,0,0
5f977935d59b15f1b51622084ed748283f2db833,Alexey Serbin,Sun Dec 29 11:26:31 2024 -0800,[thirdparty] fix building breakpad with GCC13,bug_fix,4,0,0
a24fd5bb1a7434b8f8230121ba3e2145c1b8205b,Alexey Serbin,Fri Dec 20 21:56:41 2024 -0800,[common] remove std::unique_lock template parameter,other,0,0,0
1f89113a618a84d2610410600c012c6180332adc,0xderek,Thu Dec 19 10:25:50 2024 +0800,[tools] Run range aware cluster rebalance with multiple tables,other,0,0,0
95894ffa0e2a0390c209f415b25f7caee8a51015,Alexey Serbin,Tue Oct 1 13:56:21 2024 -0700,[common] remove std::shared_lock template parameter,other,0,0,0
e4bfac1c297dd5473fd71025d1f469f2887b33d1,Abhishek Chennaka,Wed Dec 4 20:29:40 2024 -0800,[thirdparty] KUDU-3626 update PostgreSQL and its JDBC driver,other,0,0,0
8025576523ecff7429ddf0778729b0afe738bbc6,Alexey Serbin,Mon Nov 25 12:39:53 2024 -0800,[tablet] create CompactionOrFlushInput wrapped into shared_ptr,other,0,0,0
d64533ffadc399182ce6910f5bf2f783ff693554,Alexey Serbin,Mon Dec 9 19:01:09 2024 -0800,[thirdparty] upgrade chrony up to 4.6.1 version,other,0,2,0
e1e7079e7541559c34742cb311ba806f35efbd54,Alexey Serbin,Tue Dec 10 15:27:54 2024 -0800,[jwt] do not leak temporary test file,other,0,0,0
5b6aa7f6baac3eb4c14d9d349f81da5f5b8714c1,Mahesh Reddy,Tue Nov 26 17:52:09 2024 -0800,KUDU-613: Don't modify refs when moving entries,other,0,0,0
8806416603d70b14ef0432461fb035a39a5074e0,Alexey Serbin,Wed Nov 6 19:45:01 2024 -0800,[client] remove chromium Atomics from C++ client,other,0,0,0
e471f58f76d1b7358f3ef58d1c7d517c95884e62,Alexey Serbin,Wed Nov 6 20:36:13 2024 -0800,[consensus] replace chromium atomics with STL ones,other,0,0,0
87e53ae41fa0e68cb5f9d4e65385dc513f864774,gabriellalotz,Thu Oct 10 13:38:55 2024 +0200,Implement path parameter handling in webserver,feature,0,0,1
edb51241c154e411d84a52cd88400aab680f7639,Alexey Serbin,Thu Oct 31 20:17:26 2024 -0700,KUDU-3613 fix flakiness in replace_tablet-itest,bug_fix,0,1,0
